control_id,control_title,control_description,key_control,hierarchy_level,parent_control_id,preventative_detective,manual_automated,execution_frequency,four_eyes_check,evidence_description,evidence_available_from,performance_measures_required,performance_measures_available_from,control_status,valid_from,valid_until,reason_for_deactivation,status_updates,last_modified_on
CTRL-9285415473,Security Patch Management Control - Investment Bank,This control ensures that security patch management - investment bank is performed according to established procedures.,False,Level 2,CTRL-4026113008,2nd Line Detective,IT Dependent Manual,Semi-Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for security patch management control - investment bank.",2023-12-29,False,,Active,2023-12-29,,,Last reviewed on 2024-12-22. Control operating effectively.,2024-12-22 00:00:00
CTRL-2320763135,Gift and Entertainment Approval Control - Global Wealth Management,This control ensures that gift and entertainment approval - global wealth management is performed according to established procedures.,True,Level 2,CTRL-8429141456,1st Line Detective,Automated,Monthly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for gift and entertainment approval control - global wealth management.",2023-05-08,False,2023-06-07,Active,2023-05-08,,,Last reviewed on 2024-02-07. Control operating effectively.,2024-02-07 00:00:00
CTRL-1248786714,Blocked Transaction Review Control - Asset Management,This control ensures that blocked transaction review - asset management is performed according to established procedures.,False,Level 2,CTRL-7887950851,Detective,IT Dependent Manual,Quarterly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for blocked transaction review control - asset management.",2023-01-07,True,,Active,2023-01-07,,,Last reviewed on 2023-01-19. Control operating effectively.,2023-01-19 00:00:00
CTRL-5067116918,Enhanced Due Diligence Control - Global Wealth Management,This control monitors enhanced due diligence - global wealth management activities to detect and prevent financial crime.,False,Level 2,CTRL-9963334018,Preventative,IT Dependent Manual,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for enhanced due diligence control - global wealth management.",2022-08-02,True,2022-09-01,Active,2022-08-02,,,Last reviewed on 2025-04-08. Control operating effectively.,2025-04-08 00:00:00
CTRL-9957813353,Market Manipulation Detection Control - Global Wealth Management,This control manages market manipulation detection - global wealth management to ensure appropriate employee behavior.,True,Level 2,CTRL-2181241943,Detective,Manual,Monthly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for market manipulation detection control - global wealth management.",2020-10-24,True,,Active,2020-10-24,,,Last reviewed on 2024-01-12. Control operating effectively.,2024-01-12 00:00:00
CTRL-4289233844,Production Release Validation Control - Group Functions,This control ensures that production release validation - group functions is performed according to established procedures.,False,Level 2,CTRL-9703905715,Detective,Automated,Weekly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for production release validation control - group functions.",2020-07-13,True,2020-08-12,Active,2020-07-13,,,Last reviewed on 2024-07-28. Control operating effectively.,2024-07-28 00:00:00
CTRL-3361388464,Regulatory Reporting Accuracy Control - Global Wealth Management,This control ensures regulatory reporting accuracy - global wealth management requirements are met with proper documentation.,True,Level 2,CTRL-9697354961,1st Line Detective,IT Dependent Manual,Semi-Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for regulatory reporting accuracy control - global wealth management.",2020-04-12,True,,Active,2020-04-12,,,Last reviewed on 2024-10-25. Control operating effectively.,2024-10-25 00:00:00
CTRL-6633778586,Production Release Validation Control - Group Functions,This control ensures that production release validation - group functions is performed according to established procedures.,False,Level 2,CTRL-5693307665,2nd Line Detective,IT Dependent Manual,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for production release validation control - group functions.",2020-04-19,True,2020-05-19,Inactive,2020-04-19,2024-09-21,Business process discontinued,Deactivated on 2024-09-21.,2023-10-28 00:00:00
CTRL-8086172302,Regulatory Examination Response Control - Investment Bank,This control ensures regulatory examination response - investment bank requirements are met with proper documentation.,False,Level 2,CTRL-7665963761,Preventative,Automated,Monthly,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for regulatory examination response control - investment bank.",2022-06-05,True,2022-07-05,Active,2022-06-05,,,Last reviewed on 2025-09-14. Control operating effectively.,2025-09-14 00:00:00
CTRL-7517938612,Access Rights Review Control - Group Functions,This control ensures that access rights review - group functions is performed according to established procedures.,True,Level 2,CTRL-1667779376,2nd Line Detective,IT Dependent Manual,Event Triggered,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for access rights review control - group functions.",2020-12-08,False,,Active,2020-12-08,,,Last reviewed on 2023-01-11. Control operating effectively.,2023-01-11 00:00:00
CTRL-1519709079,Blocked Transaction Review Control - Investment Bank,This control ensures that blocked transaction review - investment bank is performed according to established procedures.,True,Level 2,CTRL-1667779376,2nd Line Detective,Manual,Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for blocked transaction review control - investment bank.",2021-07-10,False,,Active,2021-07-10,,,Last reviewed on 2024-05-27. Control operating effectively.,2024-05-27 00:00:00
CTRL-1965067727,System Availability Monitoring Control - Global Wealth Management,This control ensures that system availability monitoring - global wealth management processes are executed according to established procedures.,True,Level 2,CTRL-2812140441,Preventative,Automated,Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for system availability monitoring control - global wealth management.",2020-07-01,False,2020-07-31,Active,2020-07-01,,,Last reviewed on 2025-10-05. Control operating effectively.,2025-10-05 00:00:00
CTRL-2452066459,Compliance Training Completion Control - Group Functions,This control ensures compliance training completion - group functions requirements are met with proper documentation.,False,Level 2,CTRL-9963334018,Detective,IT Dependent Manual,Quarterly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for compliance training completion control - group functions.",2022-02-14,True,2022-03-16,Active,2022-02-14,,,Last reviewed on 2025-03-31. Control operating effectively.,2025-03-31 00:00:00
CTRL-1945826486,Change Management Approval Control - Group Functions,This control ensures that change management approval - group functions is performed according to established procedures.,False,Level 2,CTRL-3746317213,1st Line Detective,IT Dependent Manual,Intraday,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for change management approval control - group functions.",2023-04-15,False,,Active,2023-04-15,,,Last reviewed on 2023-12-24. Control operating effectively.,2023-12-24 00:00:00
CTRL-9894847574,Complex Product Approval Control - Group Functions,This control ensures that complex product approval - group functions is performed according to established procedures.,False,Level 2,CTRL-2181241943,2nd Line Detective,Automated,Quarterly,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for complex product approval control - group functions.",2020-06-23,False,2020-07-23,Active,2020-06-23,,,Last reviewed on 2024-06-21. Control operating effectively.,2024-06-21 00:00:00
CTRL-3710566582,Regulatory Reporting Accuracy Control - Investment Bank,This control ensures regulatory reporting accuracy - investment bank requirements are met with proper documentation.,False,Level 2,CTRL-1667779376,Preventative,Automated,Semi-Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for regulatory reporting accuracy control - investment bank.",2023-12-09,True,2024-01-08,Active,2023-12-09,,,Last reviewed on 2025-10-04. Control operating effectively.,2025-10-04 00:00:00
CTRL-1983297492,Capacity Planning Review Control - Global Wealth Management,This control ensures that capacity planning review - global wealth management is performed according to established procedures.,False,Level 2,CTRL-1958682846,1st Line Detective,Automated,Semi-Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for capacity planning review control - global wealth management.",2020-01-25,False,,Active,2020-01-25,,,Last reviewed on 2023-07-04. Control operating effectively.,2023-07-04 00:00:00
CTRL-4888749350,Change Management Approval Control - Investment Bank,This control ensures that change management approval - investment bank is performed according to established procedures.,False,Level 2,CTRL-1667779376,Preventative,Manual,Event Triggered,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for change management approval control - investment bank.",2022-02-06,False,,Active,2022-02-06,,,Last reviewed on 2023-04-17. Control operating effectively.,2023-04-17 00:00:00
CTRL-8987073217,Change Management Approval Control - Group Functions,This control ensures that change management approval - group functions is performed according to established procedures.,False,Level 2,CTRL-9703905715,Detective,Manual,Monthly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for change management approval control - group functions.",2023-01-30,True,2023-03-01,Active,2023-01-30,,,Last reviewed on 2024-10-24. Control operating effectively.,2024-10-24 00:00:00
CTRL-9894264595,Communications Monitoring Control - Group Functions,This control manages communications monitoring - group functions to ensure appropriate employee behavior.,True,Level 2,CTRL-7887950851,Preventative,Automated,Daily,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for communications monitoring control - group functions.",2023-06-17,True,2023-07-17,Inactive,2023-06-17,2024-08-01,Regulatory requirement removed,Deactivated on 2024-08-01.,2023-05-26 00:00:00
CTRL-6317189421,Security Patch Management Control - Group Functions,This control ensures that security patch management - group functions is performed according to established procedures.,False,Level 2,CTRL-5693307665,Detective,Automated,Daily,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for security patch management control - group functions.",2022-07-30,False,2022-08-29,Inactive,2022-07-30,2024-02-05,Merged with another control,Deactivated on 2024-02-05.,2025-03-24 00:00:00
CTRL-8168204967,Production Release Validation Control - Group Functions,This control ensures that production release validation - group functions is performed according to established procedures.,False,Level 2,CTRL-4460967357,Detective,Automated,Quarterly,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for production release validation control - group functions.",2020-02-14,True,2020-03-15,Inactive,2020-02-14,2025-06-20,Control replaced by automated solution,Deactivated on 2025-06-20.,2025-02-22 00:00:00
CTRL-3030106617,Privileged Access Management Control - Group Functions,This control validates that privileged access management - group functions requirements are met and monitored.,True,Level 2,CTRL-5710360983,Preventative,IT Dependent Manual,Daily,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for privileged access management control - group functions.",2023-11-16,True,,Active,2023-11-16,,,Last reviewed on 2023-11-16. Control operating effectively.,2023-11-16 00:00:00
CTRL-8664882079,Incident Management Escalation Control - Global Wealth Management,This control ensures that incident management escalation - global wealth management processes are executed according to established procedures.,False,Level 2,CTRL-7887950851,Preventative,Automated,Intraday,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for incident management escalation control - global wealth management.",2023-09-04,True,,Active,2023-09-04,,,Last reviewed on 2024-04-18. Control operating effectively.,2024-04-18 00:00:00
CTRL-8763140509,Change Management Approval Control - Global Wealth Management,This control ensures that change management approval - global wealth management is performed according to established procedures.,False,Level 2,CTRL-5710360983,Detective,IT Dependent Manual,Quarterly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for change management approval control - global wealth management.",2022-06-02,False,2022-07-02,Active,2022-06-02,,,Last reviewed on 2024-11-05. Control operating effectively.,2024-11-05 00:00:00
CTRL-1817804383,Security Patch Management Control - Group Functions,This control ensures that security patch management - group functions is performed according to established procedures.,False,Level 2,CTRL-3303082117,Detective,Manual,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for security patch management control - group functions.",2021-02-08,True,2021-03-10,Active,2021-02-08,,,Last reviewed on 2025-03-04. Control operating effectively.,2025-03-04 00:00:00
CTRL-7146318035,Compliance Training Completion Control - Global Wealth Management,This control ensures compliance training completion - global wealth management requirements are met with proper documentation.,True,Level 2,CTRL-3303082117,2nd Line Detective,IT Dependent Manual,Intraday,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for compliance training completion control - global wealth management.",2023-07-09,True,,Active,2023-07-09,,,Last reviewed on 2023-04-22. Control operating effectively.,2023-04-22 00:00:00
CTRL-7114223633,System Availability Monitoring Control - Investment Bank,This control ensures that system availability monitoring - investment bank is performed according to established procedures.,False,Level 2,CTRL-8934927891,Preventative,IT Dependent Manual,Intraday,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for system availability monitoring control - investment bank.",2023-07-24,True,,Inactive,2023-07-24,2025-05-24,Regulatory requirement removed,Deactivated on 2025-05-24.,2024-06-02 00:00:00
CTRL-4131356954,Regulatory Reporting Accuracy Control - Group Functions,This control ensures regulatory reporting accuracy - group functions requirements are met with proper documentation.,False,Level 2,CTRL-4460967357,Detective,IT Dependent Manual,Quarterly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for regulatory reporting accuracy control - group functions.",2023-12-21,False,2024-01-20,Active,2023-12-21,,,Last reviewed on 2024-07-16. Control operating effectively.,2024-07-16 00:00:00
CTRL-1422701550,Incident Management Escalation Control - Global Wealth Management,This control ensures that incident management escalation - global wealth management processes are executed according to established procedures.,False,Level 2,CTRL-9703905715,1st Line Detective,IT Dependent Manual,Intraday,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for incident management escalation control - global wealth management.",2021-12-13,True,2022-01-12,Active,2021-12-13,,,Last reviewed on 2023-03-01. Control operating effectively.,2023-03-01 00:00:00
